Year,EventName,Location,TrackType,AirTemp_Avg,TrackTemp_Avg,Rainfall_Any,Total_Drivers,Target_Had_SC
2020,Austrian Grand Prix,Spielberg,Permanent,28.684166666666666,52.025,0,20,1
2020,Styrian Grand Prix,Spielberg,Permanent,20.822499999999998,39.919999999999995,1,20,1
2020,Hungarian Grand Prix,Budapest,Permanent,20.74179104477612,27.129850746268662,1,20,0
2020,British Grand Prix,Silverstone,Permanent,21.29140625,40.6328125,0,20,1
2020,70th Anniversary Grand Prix,Silverstone,Permanent,25.287068965517243,43.227586206896554,0,20,0
2020,Spanish Grand Prix,Barcelona,Permanent,29.7968992248062,47.55581395348836,0,20,0
2020,Belgian Grand Prix,Spa-Francorchamps,Permanent,18.568595041322315,29.823966942148758,0,20,1
2020,Italian Grand Prix,Monza,Permanent,28.090909090909093,41.201398601398594,0,20,1
2020,Tuscan Grand Prix,Mugello,Permanent,30.169886363636362,43.10227272727273,0,20,1
2020,Russian Grand Prix,Sochi,Permanent,28.806060606060612,40.342424242424244,0,20,1
2020,Eifel Grand Prix,Nürburgring,Permanent,9.499999999999998,16.360204081632652,1,20,1
2020,Portuguese Grand Prix,Portimão,Permanent,20.50546875,25.715625,0,20,0
2020,Emilia Romagna Grand Prix,Imola,Permanent,18.0304,23.2608,0,20,1
2020,Turkish Grand Prix,Istanbul,Permanent,13.09568345323741,15.205755395683456,1,20,1
2020,Bahrain Grand Prix,Sakhir,Permanent,25.09907407407407,27.548148148148147,0,20,1
2020,Sakhir Grand Prix,Sakhir,Permanent,20.947244094488195,23.469291338582668,0,20,1
2020,Abu Dhabi Grand Prix,Yas Island,Permanent,23.121481481481478,27.98,0,20,1
2021,Bahrain Grand Prix,Sakhir,Permanent,20.53834586466165,27.627819548872182,0,20,1
2021,Emilia Romagna Grand Prix,Imola,Permanent,10.621118012422361,16.827329192546582,1,20,1
2021,Portuguese Grand Prix,Portimão,Permanent,19.392537313432832,38.950746268656715,0,20,1
2021,Spanish Grand Prix,Barcelona,Permanent,22.203076923076924,32.9223076923077,0,20,1
2021,Monaco Grand Prix,Monte Carlo,Street,20.760740740740744,37.595555555555556,0,20,0
2021,Azerbaijan Grand Prix,Baku,Permanent,24.17093023255814,38.31453488372093,0,20,1
2021,French Grand Prix,Le Castellet,Permanent,25.314399999999996,35.22879999999999,0,20,0
2021,Styrian Grand Prix,Spielberg,Permanent,26.692372881355933,52.35254237288136,0,20,0
2021,Austrian Grand Prix,Spielberg,Permanent,20.96602564102564,33.18397435897436,1,20,1
2021,British Grand Prix,Silverstone,Permanent,29.400000000000002,50.93152173913043,0,20,0
2021,Hungarian Grand Prix,Budapest,Permanent,27.226701570680625,37.822513089005234,1,20,0
2021,Belgian Grand Prix,Spa-Francorchamps,Permanent,13.012413793103448,15.258620689655173,1,20,0
2021,Dutch Grand Prix,Zandvoort,Permanent,21.504430379746836,36.10569620253165,0,20,0
2021,Italian Grand Prix,Monza,Permanent,28.885234899328864,43.52751677852349,0,20,1
2021,Russian Grand Prix,Sochi,Permanent,19.13860759493671,21.75696202531645,1,20,0
2021,Turkish Grand Prix,Istanbul,Permanent,15.82547770700637,18.18089171974522,0,20,0
2021,United States Grand Prix,Austin,Permanent,28.148447204968942,37.47080745341616,0,20,0
2021,Mexico City Grand Prix,Mexico City,Permanent,21.206707317073167,47.579268292682926,0,20,1
2021,São Paulo Grand Prix,São Paulo,Permanent,23.1373417721519,51.56139240506329,0,20,1
2021,Qatar Grand Prix,Lusail,Permanent,26.41513157894737,30.60328947368421,1,20,1
2021,Saudi Arabian Grand Prix,Jeddah,Permanent,28.816062176165804,31.68497409326425,0,20,1
2021,Abu Dhabi Grand Prix,Yas Island,Permanent,24.519108280254777,28.465605095541402,0,20,1
2022,Bahrain Grand Prix,Sakhir,Permanent,23.617791411042944,28.61042944785276,0,20,1
2022,Saudi Arabian Grand Prix,Jeddah,Permanent,25.42039473684211,28.40921052631579,0,20,1
2022,Australian Grand Prix,Melbourne,Permanent,26.69743589743589,37.40833333333334,0,20,1
2022,Emilia Romagna Grand Prix,Imola,Permanent,12.899367088607592,17.41898734177215,0,20,1
2022,Miami Grand Prix,Miami,Street,30.617283950617285,42.81975308641975,1,20,1
2022,Spanish Grand Prix,Barcelona,Permanent,36.56585365853658,48.957317073170735,0,20,0
2022,Monaco Grand Prix,Monaco,Street,22.27469387755102,31.038367346938774,1,20,1
2022,Azerbaijan Grand Prix,Baku,Permanent,25.435403726708078,47.14968944099379,0,20,1
2022,Canadian Grand Prix,Montréal,Permanent,20.762962962962963,41.261111111111106,0,20,1
2022,British Grand Prix,Silverstone,Permanent,18.25320197044335,30.026108374384233,1,20,1
2022,Austrian Grand Prix,Spielberg,Permanent,20.25592105263158,30.74671052631579,0,20,1
2022,French Grand Prix,Le Castellet,Permanent,30.164843750000003,54.46171875,0,20,1
2022,Hungarian Grand Prix,Budapest,Permanent,18.559880239520957,26.720958083832333,1,20,1
2022,Belgian Grand Prix,Spa-Francorchamps,Permanent,21.78717948717949,36.08397435897436,0,20,1
2022,Dutch Grand Prix,Zandvoort,Permanent,22.73006134969325,33.44601226993865,0,20,1
2022,Italian Grand Prix,Monza,Permanent,27.73469387755102,43.138775510204084,0,20,1
2022,Singapore Grand Prix,Marina Bay,Street,26.23254901960784,28.973333333333333,1,20,1
2022,Japanese Grand Prix,Suzuka,Permanent,16.717647058823534,19.930588235294113,1,20,0
2022,United States Grand Prix,Austin,Permanent,29.28529411764706,35.523529411764706,0,20,1
2022,Mexico City Grand Prix,Mexico City,Permanent,24.312727272727273,41.689090909090915,0,20,0
2022,São Paulo Grand Prix,São Paulo,Permanent,23.010778443113775,46.04910179640718,0,20,1
2022,Abu Dhabi Grand Prix,Yas Island,Permanent,28.575483870967748,34.310322580645156,0,20,0
2023,Bahrain Grand Prix,Sakhir,Permanent,27.43167701863354,31.01180124223602,0,20,0
2023,Saudi Arabian Grand Prix,Jeddah,Permanent,26.09189189189189,31.79256756756757,0,20,1
2023,Australian Grand Prix,Melbourne,Permanent,17.449549549549552,30.13963963963964,0,20,1
2023,Azerbaijan Grand Prix,Baku,Permanent,24.860625,41.209999999999994,0,20,1
2023,Miami Grand Prix,Miami,Street,27.11741935483871,36.689032258064515,0,20,0
2023,Monaco Grand Prix,Monaco,Street,25.06590909090909,39.25568181818182,1,20,0
2023,Spanish Grand Prix,Barcelona,Permanent,22.674025974025977,33.838961038961045,0,20,0
2023,Canadian Grand Prix,Montréal,Permanent,18.530246913580246,30.593209876543206,0,20,1
2023,Austrian Grand Prix,Spielberg,Permanent,22.398039215686275,32.05424836601307,1,20,1
2023,British Grand Prix,Silverstone,Permanent,21.473509933774835,30.94105960264901,0,20,1
2023,Hungarian Grand Prix,Budapest,Permanent,28.808536585365857,48.579268292682926,0,20,0
2023,Belgian Grand Prix,Spa-Francorchamps,Permanent,17.873333333333335,28.24066666666667,1,20,0
2023,Dutch Grand Prix,Zandvoort,Permanent,16.791866028708135,24.94114832535885,1,20,1
2023,Italian Grand Prix,Monza,Permanent,29.330128205128204,42.928205128205136,0,20,0
2023,Singapore Grand Prix,Marina Bay,Street,29.844318181818185,36.42215909090909,0,20,1
2023,Japanese Grand Prix,Suzuka,Permanent,27.28860759493671,42.070253164556966,0,20,1
2023,Qatar Grand Prix,Lusail,Permanent,31.46289308176101,36.93207547169812,0,20,1
2023,United States Grand Prix,Austin,Permanent,29.96011904761904,40.62857142857143,0,20,0
2023,Mexico City Grand Prix,Mexico City,Permanent,25.547368421052628,45.63947368421053,0,20,1
2023,São Paulo Grand Prix,São Paulo,Permanent,20.460109289617485,46.775956284153004,1,20,0
2023,Las Vegas Grand Prix,Las Vegas,Street,18.05,17.99444444444444,0,20,1
2023,Abu Dhabi Grand Prix,Yas Island,Permanent,26.962820512820517,33.46089743589744,0,20,0
2024,Bahrain Grand Prix,Sakhir,Permanent,18.22738853503185,23.652866242038222,0,20,0
2024,Saudi Arabian Grand Prix,Jeddah,Permanent,25.528082191780825,31.59315068493151,0,20,1
2024,Australian Grand Prix,Melbourne,Permanent,20.62222222222222,38.40208333333333,0,19,1
2024,Japanese Grand Prix,Suzuka,Permanent,21.691160220994476,37.50110497237569,0,20,0
2024,Chinese Grand Prix,Shanghai,Permanent,18.63939393939394,29.792727272727273,0,20,1
2024,Miami Grand Prix,Miami,Street,28.521999999999995,44.664,0,20,1
